Screenname	Name	Description	Constituency	Surname	Firstname	Gender	Party	PartyInitials	Status	Remarks
1garygannon	Gary Gannon	Councillor for Dublin's North Inner City and @SocDems candidate for Dublin Central. #dubc #GE16 #SocDems	Dublin Central	Gannon	Gary	M	Social Democrats	S.D.	Excluded	Baile çtha Cliath Lair
1hildegarde	Hildegarde Naughton	T.D. for Galway West - South Mayo Constituency.	Galway West	Naughton	Hildegarde	F	Fine Gael	F.G.	Elected	Gaillimh Thiar
4_johndeasytd	John Deasy TD		Waterford	Deasy	John	M	Fine Gael	F.G.	Elected	Port  Lairge
adoyletd	Andrew Doyle TD	"Minister of State for Food, Forestry, and Horticulture, Government of Ireland, and member of Dail Eireann (Irish Parliament). Email: andrew.doyle@oireachtas.ie"	Wicklow	Doyle	Andrew	M	Fine Gael	F.G.	Elected	Cill Mhantain
adriennepbpa	Adrienne Wallace PBP	@pb4p Political activist based in #Carlow #Kilkenny | Positive Progress instead of Austerity! Snapchat: adriennepbp #FirstAde	Carlow-Kilkenny	Wallace	Adrienne	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Ceatharlach-Cill Chainnigh
alancolemancork	Cllr Alan Coleman	Mayor of Cork County 2014/15 Independent Cork County Councillor	Cork South-West	Coleman	Alan	M	Non-Party	NON-P.	Excluded	Corcaigh Thiar Theas
alanfarrell	Alan Farrell TD	Fine Gael TD for Dublin Fingal. PAC & Justice member. Head of delegation to @OSCEPA. Public rep since '04. Former Cllr & Mayor of Fingal. Small business owner.	Dublin Fingal	Farrell	Alan	M	Fine Gael	F.G.	Elected	Baile çtha Cliath - Fine Gall
alankellylabour	Alan Kelly TD	Labour Health & Jobs Spokesperson. Vice Chair Public Accounts. Hon the Premier always!	Tipperary	Kelly	Alan	M	The Labour Party	LAB.	Elected	Tiobraid çrann
alexhomits	Alex Homits		Dublin Rathdown	White	Alex	M	The Labour Party	LAB.	Excluded	Baile çtha Cliath-Rath an D“in
amdermody	Anne-Marie Dermody	"Fine Gael Councillor at South Dublin County Council for the Rathfarnham Ward, Dublin South-West Constituency. Solicitor by profession."	Dublin South-West	Dermody	Anne-Marie	F	Fine Gael	F.G.	Excluded	Baile çtha Cliath Thiar Theas
annerabbitte	Anne Rabbitte TD	Fianna Fail Frontbench Spokesperson for Children & Youth Affairs.   Tweets/Opinions Expressed of my own are signed - AR	Galway East	Rabbitte	Anne	F	Fianna Fail	F.F.	Elected	Gaillimh Thoir
annette_mooney	Annette Mooney	I am a post primary teacher and a Nurse and am standing for People Before Profit in Dublin Bay South	Dublin Bay South	Mooney	Annette	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Cuan Bhaile çtha Cliath Theas
annwalshgreen	Ann Walsh	"Green Party Spokesperson for Mental Health. Environment, economy, society all interlinked,  respect the planet and we thrive, we are all connected #bethechange"	Wexford	Walsh	Ann	F	Green Party/ Comhaontas Glas	G.P.	Excluded	Loch Garman
anthonylawlorfg	Anthony Lawlor	Fine Gael TD for North Kildare	Kildare North	Lawlor	Anthony	M	Fine Gael	F.G.	Excluded	Cill Dara Thuaidh
antzc40	Anthony Connor	Member of Direct Democracy Ireland & SOSAD Volunteer 0894383597 skype: antzc16 #Irexit	Louth	Connor	Anthony	M	Direct Democracy Ireland	D.D.I.	Excluded	L“
aodhanoriordain	Aodhan O Riordain	@Labour Senator. Running Dublin Marathon for @DublinRCC. Donate here: https://t.co/IvUS178qJL	Dublin Bay North	O Riordain	Aodhan	M	The Labour Party	LAB.	Excluded	Cuan Bhaile çtha Cliath Thuaidh
aoifebyrnenum1	AoifeByrne		Wexford	Byrne	Aoife	F	Fianna Fail	F.F.	Excluded	Loch Garman
aoneillmeath	Aisling O'Neill	Social Democrats Candidate Meath East	Meath East	O'Neill	Aisling	F	Social Democrats	S.D.	Excluded	An Mhi Thoir
aosnodaigh	Aengus O Snodaigh TD	"First elected Sinn Fein TD Dublin South Central 2002, Gaeilgeoir. Social Protection spokesperson & party whip in Dail, Married 3 kids."	Dublin South-Central	O Snodaigh	Aengus	M	Sinn Fein	S.F.	Elected	Baile çtha Cliath Theas-Lar
ashashling	Ashling Merriman pbp		Kildare North	Merriman	Ashling	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Cill Dara Thuaidh
averilpower	Averil Power	"CEO of @AsthmaIreland, former Senator, dog lover and whitecollar boxer. Tweets are my own views, not those of the Society."	Dublin Bay North	Power	Averil	F	Non-Party	NON-P.	Excluded	Cuan Bhaile çtha Cliath Thuaidh
avrilcro	Avril Cronin		Wicklow	Cronin	Avril	F	Fine Gael	F.G.	Excluded	Cill Mhantain
ballivor05	tracy mcelhinney		Meath West	McElhinney	Tracy	F	The Labour Party	LAB.	Excluded	An Mhi Thiar
ballyhea14	Diarmuid O'Flynn	"Parliamentary Assistant to Luke 'Ming' Flanagan MEP; occasional author (Hurling, The Warrior Game; Club, Sweat & Tears) http://t.co/Sgk2E2hlDs"	Cork North-West	O'Flynn	Diarmuid	M	Non-Party	NON-P.	Excluded	Corcaigh Thiar Thuaidh
bernarddurkantd	Bernard Durkan TD	"FG TD for Kildare North, member of Joint Oir Committee on Health & member of Joint Oir Committee for EU Affairs. Staff sometimes tweet on my behalf."	Kildare North	Durkan	Bernard	M	Fine Gael	F.G.	Elected	Cill Dara Thuaidh
bgriffintd	Brendan Griffin	Fine Gael TD for Kerry	Kerry	Griffin	Brendan	M	Fine Gael	F.G.	Elected	Ciarrai
billy_timmins	Billy Timmins	Wicklow and East Carlow	Wicklow	Timmins	Billy	M	Renua Ireland	R.I.	Excluded	Cill Mhantain
billykellehertd	Billy Kelleher TD	"Fianna Fail Spokesperson on Health, from Glanmire, Co Cork"	Cork North-Central	Kelleher	Billy	M	Fianna Fail	F.F.	Elected	Corcaigh Thuaidh-Lar
bobby_aylward	Bobby Aylward	Fianna Fail TD for Carlow/Kilkenny and Spokesperson on Farming & Skills. You can contact me by email - bobby.aylward@oireachtas.ie	Carlow-Kilkenny	Aylward	Bobby	M	Fianna Fail	F.F.	Elected	Ceatharlach-Cill Chainnigh
breathnachlouth	Declan Breathnach	T.D for Constituency of Louth and coastal Meath.Junior Spokesperson on Cross border bodies and Northern Ireland. Principal 35years and Louth  Council 25 years.	Louth	Breathnach	Declan	M	Fianna Fail	F.F.	Elected	L“
brendanryantd	Brendan Ryan	Labour Party TD and #GE16 candidate Dublin Fingal #BackingBrendan	Dublin Fingal	Ryan	Brendan	M	The Labour Party	LAB.	Elected	Baile çtha Cliath - Fine Gall
brendansmithtd	Brendan Smith	"Brendan Smith, T.D. represents the Cavan Monaghan constituency and is Chairman of the Fianna Fail Parliamentary Party."	Cavan-Monaghan	Smith	Brendan	M	Fianna Fail	F.F.	Elected	An Cabhan-Muineachan
brendanyoungkn	Cllr Brendan Young	Elected councillor to KCC for Celbridge-Leixlip in 2014 - independent anti-austerity candidate for Kildare North in #GE16 https://t.co/Qtm8SR9ZSW	Kildare North	Young	Brendan	M	Non-Party	NON-P.	Excluded	Cill Dara Thuaidh
brianstanleytd	Brian Stanley	"Sinn Fein TD for Laois/South Kildare and Party Spokesperson on Environment, Community and Local Government."	Laois	Stanley	Brian	M	Sinn Fein	S.F.	Elected	Laois
bridsmith	Brid Smith	"People Before Profit TD for Dublin South Central. Socialist,feminist and trade union activist. Tweets may be political or random."	Dublin South-Central	Smith	Brid	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Elected	Baile çtha Cliath Theas-Lar
brophytalks	Colm Brophy	Fine Gael TD for Dublin South-West	Dublin South-West	Brophy	Colm	M	Fine Gael	F.G.	Elected	Baile çtha Cliath Thiar Theas
burkedec	Declan Burke		Dublin South-West	Burke	Declan	M	Non-Party	NON-P.	Excluded	Baile çtha Cliath Thiar Theas
campaign4kehoe	Paul Kehoe T.D	Wexford TD & Minister with responsibility for Defence and GAA enthusiast when I have spare time	Wexford	Kehoe	Paul	M	Fine Gael	F.G.	Elected	Loch Garman
campaign4perry	John Perry T.D.	Fine Gael T.D. and #GE16 Candidate for Sligo / Leitrim/ West Cavan/ South-West Donegal. Member Public Accounts (PAC). ex-Minister. Husband & Father. #TeamPerry.	Sligo-Leitrim	Perry	John	M	Fine Gael	F.G.	Excluded	Sligeach-Liatroim
campaignforkate	Kate O'Connell TD	"Fine Gael TD in 32nd Dail, representing  Dublin Bay South constituency. TD, businesswoman, pharmacist, mother of 3."	Dublin Bay South	O'Connell	Kate	F	Fine Gael	F.G.	Elected	Cuan Bhaile çtha Cliath Theas
campaignforleo	Leo Varadkar	"Government Minister, fitness fan. Has been known to talk too much. Likes to travel. Saviour of the Poolbeg Stacks. No kidding."	Dublin West	Varadkar	Leo	M	Fine Gael	F.G.	Elected	Baile çtha Thiar
cardagh	Catherine Ardagh	"@fiannafailparty Senator, Leader of the Fianna Fail Group in the Seanad & Spokesperson on Social Protection."	Dublin South-Central	Ardagh	Catherine	F	Fianna Fail	F.F.	Excluded	Baile çtha Cliath Theas-Lar
caroline1conroy	Caroline Conroy	"Green Party candidate for the General Election in Dublin North West, serving the people of Glasnevin, Santry, Drumcondra, Ballymun, Whitehall and Finglas."	Dublin North-West	Conroy	Caroline	F	Green Party/ Comhaontas Glas	G.P.	Excluded	Baile çtha Cliath Thiar Thuaidh
caroline_foxe	Caroline Foxe	INDEPENDENT candidate for Wexford #GE2016	Wexford	Foxe	Caroline	F	Non-Party	NON-P.	Excluded	Loch Garman
carolmhunt	Carol Hunt	Press adviser to Minister Shane Ross. Opinions mainly stolen from clever dead people - not my employer.	D“n Laoghaire	Hunt	Carol	F	Non-Party	NON-P.	Excluded	D“n Laoghaire
carrie_smyth	Carrie Smyth	Councillor on @dlrcc for #Killiney - #Shankill @Labour Candidate in #DunLaoghaire for next General Election.	D“n Laoghaire	Smyth	Carrie	F	The Labour Party	LAB.	Excluded	D“n Laoghaire
caseypeterj	Peter Casey	"CEO of Claddagh Resources, from Derry now based in Atlanta and Donegal. Entrepreneur, author, columnist and opinion writer."	Wicklow	Casey	Pat	M	Fianna Fail	F.F.	Elected	Cill Mhantain
catherinegalway	Catherine Connolly	"Catherine Connolly TD, Independent"	Galway West	Connolly	Catherine Martina Ann	F	Non-Party	NON-P.	Elected	Gaillimh Thiar
cathmartingreen	Catherine Martin TD	Deputy Leader of Green Party/Comhaontas Glas Green Party T.D. for constituency of Dublin Rathdown. #Education Spokesperson @GreenParty_ie	Dublin Rathdown	Martin	Catherine	F	Green Party/ Comhaontas Glas	G.P.	Elected	Baile çtha Cliath-Rath an D“in
cathmurphytd	Catherine Murphy	@SocDems TD for Kildare North. My politics are left of centre. Passionate about proper governance and interested in reform. Some tweets come from my staff.	Kildare North	Murphy	Catherine	F	Social Democrats	S.D.	Elected	Cill Dara Thuaidh
changeisuptoyou	Tom Darcy	"Author of Waiting for the Sheriff, Co Founder of Right2Homes, Founding member Of New Land League,"	Cork  East	Barry	Tom	M	Fine Gael	F.G.	Excluded	Corcaigh Thoir
charlieflanagan	Charlie Flanagan	Minister for Foreign Affairs & Trade. TD for Laois. Charlie.flanagan@oir.ie	Laois	Flanagan	Charlie	M	Fine Gael	F.G.	Elected	Laois
chrisandrews64	Chris Andrews	Supporting Human Rights and Community Development. Sinn Fein member of Dublin City Council - Taking sides	Dublin Bay South	Andrews	Chris	M	Sinn Fein	S.F.	Excluded	Cuan Bhaile çtha Cliath Theas
cianpaaa	Cian Prendiville	Anti Austerity Alliance Councillor and General Election candidate for Limerick City. Fighter against austerity and inequality in Limerick for over 10 years.	Limerick City	Prendiville	Cian	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Cathair Luimnigh
ciaramconway	CIARA CONWAY		Waterford	Conway	Ciara	F	The Labour Party	LAB.	Excluded	Port  Lairge
ciarancannon	Ciaran Cannon	"TD (MP) Ireland. Former Minister of State. Husband, dad, musician, songwriter, theatre owner, cyclist. Founder of Excited - The Digital Learning Movement"	Galway East	Cannon	Ciaran	M	Fine Gael	F.G.	Elected	Gaillimh Thoir
clairekerrane	Claire Kerrane	Former Secretary to Luke Ming Flanagan MEP. Sinn Fein GE Candidate for Roscommon/Galway. Political Advisor on Social Protection in Leinster House.	Roscommon-Galway	Kerrane	Claire	F	Sinn Fein	S.F.	Excluded	Ros Comain-Gaillimh
claredalytd	Clare Daly TD	Independent Socialist	Dublin Fingal	Daly	Clare	F	Independents 4 Change	I.4.C	Elected	Baile çtha Cliath - Fine Gall
cllrjbrassil	John Brassil		Kerry	Brassil	John	M	Fianna Fail	F.F.	Elected	Ciarrai
cllrjohnfoley16	John Foley	Cllr. John Foley Springville Killane Edenderry Co. Offaly Party: Independent Alliance Tel: (087) 2522882 Email: cllr.johnfoley@gmail.com	Offaly	Foley	John	M	Non-Party	NON-P.	Excluded	Uibh Fhaili
cllrkmccarthy	Cllr Kieran McCarthy	Independent Cobh County Councillor and candidate for upcoming General Election	Cork  East	McCarthy	Kieran	M	Non-Party	NON-P.	Excluded	Corcaigh Thoir
cllrmaryhoade	Cllr Mary Hoade	"Galway county councillor in the Tuam electoral area since 1999, running for Fianna Fail in the general election on Feb 26th 2016"	Galway West	Hoade	Mary	F	Fianna Fail	F.F.	Excluded	Gaillimh Thiar
cllrmcguinness	David McGuinness	Dublin. Ireland. Music/History Teacher. Proud Father to Tomas. 7 years representing the people of Dublin 15	Dublin West	McGuinness	David	M	Non-Party	NON-P.	Excluded	Baile çtha Thiar
cllrmobrien	Cllr Michael O'Brien	"Anti Austerity Alliance Councillor for Beaumont Donaghmede ward, Dublin City Council"	Dublin Bay North	O'Brien	Michael	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Cuan Bhaile çtha Cliath Thuaidh
cllrpaddymckee	Patrick McKee	"KK County Council. Chair of KK Joint Policing Committee (JPC). Law Grad. Director Rothe House Trust, Watergate Theatre. UCC/WIT #LoveKilkenny #Repealthe8th"	Carlow-Kilkenny	McKee	Patrick	M	Renua Ireland	R.I.	Excluded	Ceatharlach-Cill Chainnigh
clr_aaa	Ciara Leonardi-Roche	ciararoche.clr@gmail.com	Cork  East	Leonardi-Roche	Ciara	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Corcaigh Thoir
cmacliam	Conor Mac Liam	Socialist education technologist :-)	Carlow-Kilkenny	Mac Liam	Conor	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Ceatharlach-Cill Chainnigh
colm_keaveney	Colm Keaveney	On occasion I retweet because I can.	Galway East	Keaveney	Colm	M	Fianna Fail	F.F.	Excluded	Gaillimh Thoir
connollyjohne	John Connolly	Posta le Bernadette le triur inion gleoite. Muinteoir Scoile i mBaile Atha an Ri. Fear CLG. Bearna is Gaillimh abu.	Galway West	Connolly	John	M	Fianna Fail	F.F.	Excluded	Gaillimh Thiar
conwaywalsh	Rose Conway-Walsh	Mayo @sinnfeinireland Senator ****Making a Stand for Mayo and the West ****	Mayo	Conway-Walsh	Rose	F	Sinn Fein	S.F.	Excluded	Maigh Eo
cormacdevlin	Cllr. Cormac Devlin	An Cathaoirleach (Chairperson or Mayor) of @dlrcc Dun Laoghaire Rathdown County Council | Office: 01 205 4780 / Email cormac@cormacdevlin.ie	D“n Laoghaire	Devlin	Cormac	M	Fianna Fail	F.F.	Excluded	D“n Laoghaire
