Name	Facebook	Screenname	Flickr	LinkedIn	Youtube	Constituency	Party	Candidate Web Page	Email	Party Web Site
Mr. Gerry Adams	http://www.facebook.com/gerry.adams.503	gerryadamssf				Louth	Sinn FŽin	http://www.sinnfein.ie/contents/20204	gerry.adams@oireachtas.ie	http://www.sinnfein.ie
Mr. Bobby Aylward	http://www.facebook.com/pages/Bobby-Aylward/739535369487318	bobby_aylward				Carlow-Kilkenny	Fianna F‡il	http://www.fiannafail.ie/people/bobby-aylward/	bobby.aylward@oireachtas.ie	http://www.fiannafail.ie/
Mr. James Bannon	http://www.facebook.com/jamesbannonTD	jamesbannontd				Longford -Westmeath	Fine Gael	http://www.finegael.ie/our-people/tds/james-bannon/	james.bannon@oireachtas.ie	http://www.finegael.ie
Mr. Sean Barrett	http://www.facebook.com/search/top/?q=sean%20barrett%20td	seanbarretttd				Dœn Laoghaire	Ceann Comhairle		sean.barrett@oireachtas.ie	http://ceanncomhairle.oireachtas.ie/default.asp
Mr. Tom Barry	http://www.facebook.com/tombarrytd	tombarrytd				Cork East	Fine Gael	http://tombarry.ie/	tom.barry@oireachtas.ie	http://www.finegael.ie
Mr. Richard Boyd Barrett	http://www.facebook.com/richard.b.barrett.7	rboydbarrett			http://www.youtube.com/user/RichardBoydBarrettTD/featured	Dœn Laoghaire	People Before Profit Alliance	http://richardboydbarrett.ie/	richard.boydbarrett@oireachtas.ie	http://www.peoplebeforeprofit.ie/
Mr. Pat Breen	http://www.facebook.com/PatBreenTD	patbreen1		http://ie.linkedin.com/pub/pat-breen/24/61a/b43	http://www.youtube.com/user/patbreentd	Clare	Fine Gael	http://www.patbreen.ie/	pat.breen@oireachtas.ie	http://www.finegael.ie
Mr. Tommy Broughan	http://www.facebook.com/Tommy-Broughan-982982281720853/timeline/	tommybroughantd				Dublin North-East	Independent	http://www.tommybroughan.com	tommy.broughan@oireachtas.ie	
Mr. Richard Bruton	http://www.facebook.com/richardbrutontd	richardbrutontd		http://ie.linkedin.com/in/richardbruton	http://www.youtube.com/richardbrutontd	Dublin North Central	Fine Gael	http://richardbruton.ie/	richard.bruton@oireachtas.ie	http://www.finegael.ie
Mr. Ray Butler	http://www.facebook.com/ray.butler.716	raybutlertd				Meath West	Fine Gael		ray.butler@oireachtas.ie	http://www.finegael.ie
Mr. Jerry Buttimer	http://www.facebook.com/JerryButtimer	jerrybuttimer			http://https://www.youtube.com/user/buttimerjerry1	Cork South-Central	Fine Gael	http://jerrybuttimer.ie/	jerry.buttimer@oireachtas.ie	http://www.finegael.ie
Mr. Eric Byrne		ericbyrnetd	http://www.flickr.com/search/?q=ericbyrne&m=tags&w=32586689%40N00&ss=2&z=m			Dublin South-Central	Labour Party	http://www.ericbyrne.ie/	eric.byrne@oireachtas.ie	http://www.labour.ie/
